dataset,kind,compare_type,python_path,fpga_path,plot_path,python_shape,fpga_shape,compared_shape,total_pixels,mse,mean_abs_error,median_abs_error,median_error,min_error,max_error,exact_match_pixels,exact_match_fraction,mean_bit_correctness,median_bit_correctness,best_bit_correctness,worst_bit_correctness,pearson_corr,spearman_corr,python_min,python_max,fpga_min,fpga_max,fpga_minus_python_mean,fpga_minus_python_median,sign_match_fraction,python_negative_pixels,python_zero_pixels,python_positive_pixels,fpga_negative_pixels,fpga_zero_pixels,fpga_positive_pixels
head,confidence,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/head/confidence_normalised_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/head/output_data/fused_confidence_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/normalised_png/head/head_confidence_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,63.16274238227147,4.365727916281933,2.0,-1.0,-61.0,60.0,1742,0.134041243459526,5.848722683902739,6.0,8,0,,,,,,,,,,,,,,,
head,confidence,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/head/confidence_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/head/output_data/fused_confidence.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/linear_png/head/head_confidence_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,3.1662049861495847,0.9776854416743613,1.0,0.0,-13.0,13.0,5723,0.4403662665435519,6.892813173284088,7.0,8,2,,,,,,,,,,,,,,,
head,confidence,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/head/confidence/C_avg.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/head/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/raw_numeric/head/head_confidence_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12996,2.9774296139159104,0.9488857148353339,0.466796875,0.150390625,-13.19921875,12.9609375,17,0.0013080947983995076,,,,,0.9789561243181495,0.9815947782203117,1.685546875,57.748046875,2.0,57.25,0.0632279884195137,0.150390625,1.0,0,0,12996,0,0,12996
head,disparity,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/head/disparity_normalised_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/head/output_data/fused_weighted_disparity_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/normalised_png/head/head_disparity_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,18.094952293013236,3.1994459833795013,3.0,-2.0,-20.0,24.0,1311,0.10087719298245613,5.686826715912589,6.0,8,0,,,,,,,,,,,,,,,
head,disparity,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/head/disparity_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/head/output_data/fused_weighted_disparity.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/linear_png/head/head_disparity_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,63605.7540781779,252.20036934441367,252.0,-252.0,-254.0,-250.0,0,0.0,1.7780086180363188,2.0,2,0,,,,,,,,,,,,,,,
head,disparity,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/head/disparity/Z_conf_nonfilled_blurred.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/head/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/raw_numeric/head/head_disparity_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12996,0.0011229042999191848,0.019740918630011157,0.00927734375,-0.00537109375,-0.230224609375,0.164306640625,114,0.008771929824561403,,,,,0.9962937144111356,0.9958962519592224,0.270751953125,2.56494140625,0.24609375,2.55078125,-0.010966358789483302,-0.00537109375,1.0,0,0,12996,0,0,12996
dino,confidence,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/dino/confidence_normalised_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/dino/output_data/fused_confidence_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/normalised_png/dino/dino_confidence_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,89.50053862726993,4.9879193598030165,2.0,0.0,-61.0,82.0,1951,0.15012311480455526,5.858341028008618,6.0,8,0,,,,,,,,,,,,,,,
dino,confidence,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/dino/confidence_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/dino/output_data/fused_confidence.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/linear_png/dino/dino_confidence_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,6.129424438288704,1.3105570944906124,1.0,0.0,-16.0,22.0,5165,0.3974299784549092,6.73730378578024,7.0,8,2,,,,,,,,,,,,,,,
dino,confidence,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/dino/confidence/C_avg.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/dino/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/raw_numeric/dino/dino_confidence_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12996,5.979950871090406,1.2945185056940598,0.5625,0.123046875,-16.05078125,21.18359375,14,0.0010772545398584179,,,,,0.9598155173191212,0.9596335834024752,0.7109375,67.189453125,1.0,66.5,-0.03280546658587258,0.123046875,1.0,0,0,12996,0,0,12996
dino,disparity,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/Bit_Manipulation/dino/disparity_normalised_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/tb/dino/output_data/fused_weighted_disparity_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Bit_Manipulation/comparison_outputs_all/normalised_png/dino/dino_disparity_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,0.0,0.0,0.0,0.0,0.0,0.0,12996,1.0,8.0,8.0,8,8,,,,,,,,,,,,,,,
