dataset,kind,compare_type,python_path,fpga_path,plot_path,python_shape,fpga_shape,compared_shape,total_pixels,mse,mean_abs_error,median_abs_error,median_error,min_error,max_error,exact_match_pixels,exact_match_fraction,mean_bit_correctness,median_bit_correctness,best_bit_correctness,worst_bit_correctness,pearson_corr,spearman_corr,python_min,python_max,fpga_min,fpga_max,fpga_minus_python_mean,fpga_minus_python_median,sign_match_fraction,python_negative_pixels,python_zero_pixels,python_positive_pixels,fpga_negative_pixels,fpga_zero_pixels,fpga_positive_pixels
head,confidence,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/head/confidence_normalised_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/head/output_data/fused_confidence_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/normalised_png/head/head_confidence_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,626.890889504463,15.768544167436135,9.0,9.0,-40.0,177.0,484,0.03724222837796245,5.166666666666667,5.0,8,0,,,,,,,,,,,,,,,
head,confidence,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/head/confidence_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/head/output_data/fused_confidence.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/linear_png/head/head_confidence_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,93.59133579562942,7.398815020006156,5.0,5.0,0.0,44.0,1,7.694675284702985e-05,5.93574946137273,6.0,8,2,,,,,,,,,,,,,,,
head,confidence,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/head/confidence/C_avg.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/head/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/raw_numeric/head/head_confidence_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12996,91.56537039370656,7.269982804955611,5.0191650390625,5.0191650390625,-0.05712890625,43.3154296875,0,0.0,,,,,0.8951556742777846,0.8640972865106067,0.424560546875,24.96923828125,1.75,58.0,7.269974013187952,5.0191650390625,1.0,0,0,12996,0,0,12996
head,disparity,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/head/disparity_normalised_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/head/output_data/fused_weighted_disparity_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/normalised_png/head/head_disparity_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,745.2242997845491,20.202446906740537,14.0,-13.0,-98.0,42.0,262,0.02016004924592182,4.591104955370883,5.0,8,0,,,,,,,,,,,,,,,
head,disparity,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/head/disparity_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/head/output_data/fused_weighted_disparity.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/linear_png/head/head_disparity_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,63756.482610033854,252.49907663896585,252.0,-252.0,-254.0,-250.0,0,0.0,1.539012003693444,2.0,2,0,,,,,,,,,,,,,,,
head,disparity,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/head/disparity/Z_conf_nonfilled_blurred.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/head/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/raw_numeric/head/head_disparity_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12996,0.10577348497472348,0.26594492265649045,0.2265625,0.2261962890625,-0.27001953125,0.98974609375,1,7.694675284702985e-05,,,,,0.8549584892249632,0.8348003927876013,0.157958984375,2.451171875,0.25390625,2.55078125,0.26334304786088025,0.2261962890625,1.0,0,0,12996,0,0,12996
dino,confidence,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/dino/confidence_normalised_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/dino/output_data/fused_confidence_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/normalised_png/dino/dino_confidence_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,1050.6918282548477,22.92220683287165,17.0,16.0,-62.0,251.0,171,0.013157894736842105,4.802169898430286,5.0,8,0,,,,,,,,,,,,,,,
dino,confidence,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/dino/confidence_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/dino/output_data/fused_confidence.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/linear_png/dino/dino_confidence_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,115.40958756540473,8.55670975684826,7.0,7.0,0.0,67.0,4,0.0003077870113881194,5.781163434903047,6.0,8,2,,,,,,,,,,,,,,,
dino,confidence,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/dino/confidence/C_avg.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/dino/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/raw_numeric/dino/dino_confidence_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12995,113.13630808950984,8.430855655119757,6.736328125,6.736328125,0.30810546875,66.522705078125,0,0.0,,,,,0.7076814237251596,0.7065603562833596,0.107177734375,43.330078125,0.75,67.25,8.430855655119757,6.736328125,1.0,0,0,12995,0,0,12995
dino,disparity,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/dino/disparity_normalised_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/dino/output_data/fused_weighted_disparity_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/normalised_png/dino/dino_disparity_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,0.0,0.0,0.0,0.0,0.0,0.0,12996,1.0,8.0,8.0,8,8,,,,,,,,,,,,,,,
dino,disparity,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/dino/disparity_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/dino/output_data/fused_weighted_disparity.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/linear_png/dino/dino_disparity_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,0.0,0.0,0.0,0.0,0.0,0.0,12996,1.0,8.0,8.0,8,8,,,,,,,,,,,,,,,
dino,disparity,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/dino/disparity/Z_conf_nonfilled_blurred.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/dino/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/raw_numeric/dino/dino_disparity_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12995,0.1022087136338701,0.28322149895392457,0.290283203125,0.2421875,-1.414794921875,1.0654296875,3,0.0002308580223162755,,,,,0.9358018548084016,0.7465786257833603,-5.59033203125,-0.050537109375,-5.91796875,-0.13671875,0.16173400526644863,0.2421875,1.0,12995,0,0,12995,0,0
town,confidence,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/town/confidence_normalised_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/town/output_data/fused_confidence_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/normalised_png/town/town_confidence_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,3832.884733764235,50.030778701138814,54.0,54.0,-13.0,205.0,501,0.03855032317636196,4.612726992920899,5.0,8,0,,,,,,,,,,,,,,,
town,confidence,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/town/confidence_png_center_128x128_png/C_avg.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/town/output_data/fused_confidence.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/linear_png/town/town_confidence_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,334.7296091104955,15.658664204370575,18.0,18.0,1.0,53.0,0,0.0,5.375884887657741,5.0,7,2,,,,,,,,,,,,,,,
town,confidence,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/town/confidence/C_avg.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/town/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/raw_numeric/town/town_confidence_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12996,330.5412514710443,15.522639684656577,17.6414794921875,17.6414794921875,1.111328125,52.48046875,0,0.0,,,,,0.824831473371743,0.8473370154675254,0.493408203125,35.069580078125,2.5,62.0,15.522639684656577,17.6414794921875,1.0,0,0,12996,0,0,12996
town,disparity,normalised_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/town/disparity_normalised_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/town/output_data/fused_weighted_disparity_normalised.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/normalised_png/town/town_disparity_normalised_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,1663.6671283471837,8.215758694983071,0.0,0.0,-255.0,255.0,11370,0.8748845798707294,7.524546014158203,8.0,8,0,,,,,,,,,,,,,,,
town,disparity,linear_png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/town/disparity_png_center_128x128_png/Z_conf_nonfilled_blurred.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/town/output_data/fused_weighted_disparity.png,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/linear_png/town/town_disparity_linear_png_python_vs_fpga.png,"(128, 128)","(114, 114)","(114, 114)",12996,7737.843490304709,30.64065866420437,0.0,0.0,-255.0,2.0,11295,0.8691135734072022,7.150046168051708,8.0,8,0,,,,,,,,,,,,,,,
town,disparity,raw_numeric,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/Python_Red/No_Libraries/town/disparity/Z_conf_nonfilled_blurred.imgb,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/tb/town/output_data,/Users/DanielBiswas/Desktop/Documents/University/Year 5/Semester 1/AMME4112/Code/SystemVerilog_HDL_Red/Standard/comparison_outputs_all/raw_numeric/town/town_disparity_raw_numeric_python_vs_fpga.png,"(128, 128)","(128, 128)","(128, 128)",12996,2.2541097914000296,1.1708031369928729,1.2327880859375,-1.1571044921875,-6.2958984375,7.52490234375,4,0.0003077870113881194,,,,,0.9672105773182992,0.9763531911662724,-3.432861328125,4.319091796875,-9.3671875,11.15625,-1.001345948242488,-1.1571044921875,0.9745306248076331,11418,2,1576,11492,16,1488
